    9   24       7780.000
   10   24      -5950.000
   11   24      -8420.000
   12   24     -13933.000
   13   24        -55.000
   14   24      10755.000
    9   25      10940.000
   10   25      -2060.000
   11   25      -9360.000
   12   25     -13192.000
   13   25      -8915.000
   14   25       3827.000
   15   25      22080.000
    9   26      17700.000
   10   26        440.000
   11   26      -6904.000
   12   26     -16214.001
   13   26     -12210.000
   14   26      -7145.000
   15   26      11260.000
   10   27       6410.000
   11   27      -5600.000
   12   27     -14586.000
   13   27     -17197.000
   14   27     -12385.000
   15   27       -750.000
   16   27      18220.000
   10   28      10780.000
   11   28      -1140.000
   12   28     -15019.000
   13   28     -16851.000
   14   28     -21492.000
   15   28      -7161.000
   16   28       4130.000
   11   29       2650.000
   12   29     -10661.000
   13   29     -18215.000
   14   29     -21895.000
   15   29     -16951.000
   16   29      -3160.000
   17   29      15050.000
   11   30       8210.000
   12   30      -9100.000
   13   30     -15890.000
   14   30     -24433.000
   15   30     -20200.000
   16   30     -14063.000
   17   30       4840.000
   11   31      11830.000
   12   31      -3650.000
   13   31     -15050.000
   14   31     -22950.000
   15   31     -24441.000
   16   31     -19045.000
   17   31      -7060.000
   18   31      11660.000
   11   32      16550.000
   12   32      -1750.000
   13   32     -11210.000
   14   32     -24081.000
   15   32     -24305.000
   16   32     -26016.000
   17   32     -13330.000
   18   32      -2180.000
   11   33      21470.000
   12   33       5010.000
   13   33      -8840.000
   14   33     -20492.000
   15   33     -26338.000
   16   33     -26586.000
   17   33     -21003.000
   18   33      -9380.000
   19   33       8000.000
   11   34      26650.000
   12   34       8440.000
   13   34      -3660.000
   14   34     -19958.000
   15   34     -24557.000
   16   34     -29932.000
   17   34     -24440.000
   18   34     -18379.000
   19   34      -1480.000
   12   35      14680.000
   13   35       -660.000
   14   35     -14320.000
   15   35     -24857.000
   16   35     -28846.000
   17   35     -29013.000
   18   35     -23048.000
   19   35     -11167.000
   20   35       4450.000
   13   36       5050.000
   14   36     -13260.000
   15   36     -20251.000
   16   36     -30664.000
   17   36     -29522.000
   18   36     -30230.000
   19   36     -17425.000
   20   36      -6440.000
   14   37      -7000.000
   15   37     -19260.000
   16   37     -26896.000
   17   37     -31761.000
   18   37     -30948.000
   19   37     -24798.000
   20   37     -13159.000
   14   38      -5360.000
   15   38     -14160.000
   16   38     -26861.000
   17   38     -29798.000
   18   38     -34715.000
   19   38     -28802.000
   20   38     -22059.000
   21   38      -4460.000
   15   39     -12500.000
   16   39     -23000.000
   17   39     -29802.000
   18   39     -33241.000
   19   39     -33806.000
   20   39     -27275.000
   21   39     -14300.000
   15   40      -7020.000
   16   40     -22520.000
   17   40     -27530.000
   18   40     -35039.000
   19   40     -33534.000
   20   40     -34846.000
   21   40     -20526.000
   22   40      -9063.000
   16   41     -17870.000
   17   41     -27400.000
   18   41     -33066.000
   19   41     -35558.000
   20   41     -35137.000
   21   41     -28643.000
   22   41     -15690.000
   16   42     -16420.000
   17   42     -24420.000
   18   42     -34420.000
   19   42     -35020.000
   20   42     -38547.000
   21   42     -32120.998
   22   42     -25121.000
   23   42      -8220.000
   17   43     -23130.000
   18   43     -31980.000
   19   43     -36593.000
   20   43     -38408.000
   21   43     -36187.000
   22   43     -29320.000
   23   43     -17920.000
   17   44     -20010.000
   18   44     -32259.998
   19   44     -35810.000
   20   44     -41469.000
   21   44     -37815.000
   22   44     -37548.000
   23   44     -23800.000
   24   44     -13450.000
   18   45     -29720.000
   19   45     -36614.000
   20   45     -40812.000
   21   45     -41069.000
   22   45     -39006.000
   23   45     -31875.000
   24   45     -19410.000
   18   46     -29720.000
   19   46     -35418.000
   20   46     -43140.000
   21   46     -41758.000
   22   46     -44125.000
   23   46     -37075.000
   24   46     -29472.000
   25   46     -12470.000
   18   47     -25910.000
   19   47     -35696.000
   20   47     -42345.000
   21   47     -44330.000
   22   47     -44931.000
   23   47     -42004.000
   24   47     -34553.000
   25   47     -22650.000
   19   48     -32122.002
   20   48     -44214.000
   21   48     -44492.000
   22   48     -48487.000
   23   48     -44474.000
   24   48     -42818.000
   25   48     -29211.000
   26   48     -18130.000
   19   49     -30770.000
   20   49     -41289.000
   21   49     -46558.000
   22   49     -48558.000
   23   49     -47956.000
   24   49     -45328.000
   25   49     -37611.000
   26   49     -24580.000
   19   50     -25520.000
   20   50     -39570.000
   21   50     -44537.000
   22   50     -51426.000
   23   50     -49219.000
   24   50     -50257.000
   25   50     -42625.000
   26   50     -34470.000
   27   50     -17980.000
   20   51     -35010.000
   21   51     -43218.000
   22   51     -49726.000
   23   51     -52199.000
   24   51     -51447.000
   25   51     -48238.000
   26   51     -40217.000
   27   51     -27420.000
   20   52     -32460.000
   21   52     -40060.000
   22   52     -49464.000
   23   52     -51438.000
   24   52     -55414.000
   25   52     -50702.000
   26   52     -48331.000
   27   52     -34287.000
   28   52     -22640.000
   21   53     -38230.000
   22   53     -46830.000
   23   53     -51846.000
   24   53     -55282.000
   25   53     -54686.000
   26   53     -50943.000
   27   53     -42639.000
   28   53     -29380.000
   22   54     -45530.000
   23   54     -49889.000
   24   54     -56930.000
   25   54     -55553.000
   26   54     -56250.000
   27   54     -48007.000
   28   54     -39210.000
   29   54     -21210.000
   23   55     -49150.000
   24   55     -55105.000
   25   55     -57708.000
   26   55     -57476.000
   27   55     -54025.000
   28   55     -45330.000
   29   55     -31630.000
   23   56     -46110.000
   24   56     -55290.000
